Temperature (K)	Pressure (MPa)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/kg)	Enthalpy (kJ/kg)	Entropy (J/g*K)	Cv (J/g*K)	Cp (J/g*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
1135.0	0.10132	0.19346	5.1690	3782.7	4306.5	9.6946	1.9242	2.3862	805.88	1.6530	42.773	0.11435	vapor
1145.0	0.10132	0.19177	5.2146	3802.0	4330.4	9.7155	1.9310	2.3931	809.15	1.6107	43.148	0.11574	vapor
1155.0	0.10132	0.19011	5.2602	3821.3	4354.3	9.7364	1.9378	2.3999	812.40	1.5698	43.522	0.11713	vapor
1165.0	0.10132	0.18847	5.3058	3840.8	4378.4	9.7571	1.9446	2.4067	815.64	1.5301	43.895	0.11853	vapor
1175.0	0.10132	0.18687	5.3513	3860.2	4402.5	9.7777	1.9514	2.4135	818.86	1.4917	44.267	0.11993	vapor
1185.0	0.10132	0.18529	5.3969	3879.8	4426.6	9.7982	1.9582	2.4202	822.07	1.4544	44.638	0.12133	vapor
1195.0	0.10132	0.18374	5.4425	3899.4	4450.9	9.8185	1.9649	2.4269	825.26	1.4183	45.008	0.12274	vapor
1205.0	0.10132	0.18221	5.4880	3919.1	4475.2	9.8388	1.9716	2.4336	828.44	1.3832	45.376	0.12414	vapor
1215.0	0.10132	0.18071	5.5336	3938.8	4499.5	9.8589	1.9783	2.4402	831.61	1.3492	45.744	0.12555	vapor
1225.0	0.10132	0.17924	5.5792	3958.7	4524.0	9.8790	1.9849	2.4469	834.76	1.3162	46.111	0.12697	vapor
1235.0	0.10132	0.17779	5.6248	3978.6	4548.5	9.8989	1.9915	2.4534	837.90	1.2842	46.477	0.12838	vapor
1245.0	0.10132	0.17636	5.6703	3998.5	4573.0	9.9187	1.9980	2.4600	841.03	1.2531	46.842	0.12980	vapor
1255.0	0.10132	0.17495	5.7159	4018.5	4597.7	9.9384	2.0046	2.4665	844.14	1.2229	47.206	0.13122	vapor
1265.0	0.10132	0.17357	5.7615	4038.6	4622.4	9.9580	2.0111	2.4730	847.24	1.1936	47.569	0.13264	vapor
1275.0	0.10132	0.17220	5.8070	4058.7	4647.1	9.9775	2.0175	2.4794	850.33	1.1650	47.931	0.13406	vapor
1285.0	0.10132	0.17086	5.8526	4078.9	4672.0	9.9969	2.0239	2.4858	853.41	1.1373	48.292	0.13549	vapor
1295.0	0.10132	0.16954	5.8982	4099.2	4696.9	10.016	2.0303	2.4922	856.48	1.1104	48.652	0.13691	vapor
1305.0	0.10132	0.16824	5.9437	4119.6	4721.8	10.035	2.0367	2.4986	859.53	1.0841	49.011	0.13834	vapor
1315.0	0.10132	0.16696	5.9893	4140.0	4746.8	10.054	2.0430	2.5049	862.57	1.0586	49.369	0.13977	vapor
1325.0	0.10132	0.16570	6.0349	4160.4	4771.9	10.073	2.0493	2.5111	865.60	1.0338	49.726	0.14121	vapor
1335.0	0.10132	0.16446	6.0804	4180.9	4797.0	10.092	2.0555	2.5174	868.62	1.0097	50.082	0.14264	vapor
1345.0	0.10132	0.16324	6.1260	4201.5	4822.3	10.111	2.0617	2.5235	871.63	0.98620	50.437	0.14408	vapor
1355.0	0.10132	0.16203	6.1716	4222.2	4847.5	10.130	2.0678	2.5297	874.63	0.96332	undefined	undefined	vapor
1365.0	0.10132	0.16085	6.2171	4242.9	4872.8	10.149	2.0740	2.5358	877.61	0.94104	undefined	undefined	vapor
1375.0	0.10132	0.15968	6.2627	4263.7	4898.2	10.167	2.0800	2.5419	880.59	0.91933	undefined	undefined	vapor
